,Crop,Crop_Year,Area,Production
174,Cashewnut,2005,388305.5,179784.02
175,Cashewnut,2006,375398,175099.13
176,Cashewnut,2007,215302,132249
177,Cashewnut,2008,364787,178406.22
178,Cashewnut,2009,350774,176225
179,Cashewnut,2010,255319.75,130696.53
180,Cashewnut,2011,361004.21,167522.69
181,Cashewnut,2012,246463,138809
182,Cashewnut,2013,514744,238246
183,Cashewnut,2014,293700,162723
184,Cashewnut Processed,2002,57461,8121
185,Cashewnut Raw,2002,146009,98462
186,Castor seed,1997,582573,784499
187,Castor seed,1998,674400,839501
188,Castor seed,1999,788993,770181
189,Castor seed,2000,1090322,891116.4
190,Castor seed,2001,690223,644839.01
191,Castor seed,2002,582515,430160.01
192,Castor seed,2003,691831,792018
193,Castor seed,2004,761829,807308
194,Castor seed,2005,866800,946788
195,Castor seed,2006,667053,805387
196,Castor seed,2007,717429,1047088.7
197,Castor seed,2008,780678,1155978
198,Castor seed,2009,733883,1002065
199,Castor seed,2010,889033,1377113
200,Castor seed,2011,1167829,1879854
201,Castor seed,2012,907208,1564248.53
202,Castor seed,2013,279970,179516
203,Castor seed,2014,129310,72240
204,Cauliflower,2002,7831,8775
205,Cauliflower,2003,8881,9658
206,Citrus Fruit,2002,93685,382994
207,Citrus Fruit,2003,80159,496573
208,Coconut ,1997,1064229,6344142
209,Coconut ,1998,1237644,5283860454
210,Coconut ,1999,1279564,5859817270
211,Coconut ,2000,1437422,6880408908
212,Coconut ,2001,1454159,6881286542
213,Coconut ,2002,1799396,7150889367
214,Coconut ,2003,1804708.74,7355742937
215,Coconut ,2004,1839782.4,7663983742
216,Coconut ,2005,1842178.02,7453185841
217,Coconut ,2006,1847003.09,8092567153
218,Coconut ,2007,1682671,6299914140
219,Coconut ,2008,1752448,7039785652
220,Coconut ,2009,1735991,7041992679
221,Coconut ,2010,1255481.13,5596200360
222,Coconut ,2011,1810864.94,13594220064
223,Coconut ,2012,1360932,7494436866
224,Coconut ,2013,1815921,12219189405
225,Coconut ,2014,1361285,8067813334
226,Coffee,2001,84795,66690
227,Coffee,2002,83113,63322
228,Colocosia,2013,5240,49840
229,Cond-spcs other,1999,2767,2260.4
230,Coriander,1997,57930,13169
231,Coriander,1998,282419,199226
232,Coriander,1999,332855,210680
233,Coriander,2000,346681,228821
234,Coriander,2001,396757,305944
235,Coriander,2002,277552,166701.11
236,Coriander,2003,475769,383956.01
237,Coriander,2004,362921,253669
238,Coriander,2005,207063,169349
239,Coriander,2006,305794,227303
240,Coriander,2007,381979,224992.1
241,Coriander,2008,450818,366550
242,Coriander,2009,452712,390751
243,Coriander,2010,401461,306512
244,Coriander,2011,195017,89841
245,Coriander,2012,159516,95404
