,Crop_Year,Season,Crop,Area,Production
131,1997,Whole Year ,Turmeric,49377,175614
132,1997,Whole Year ,Urad,218236,101820
133,1997,Winter     ,Arhar/Tur,116553,23305
134,1997,Winter     ,Groundnut,8157,8905
135,1997,Winter     ,Horse-gram,114779,32809
136,1997,Winter     ,Maize,144,136
137,1997,Winter     ,Paddy,3434388,4938032
138,1997,Winter     ,Ragi,37191,19693
139,1997,Winter     ,Rice,8955355,14969534
140,1997,Winter     ,Sesamum,48551,8316
141,1997,Winter     ,Sugarcane,18682,1144012
142,1997,Winter     ,Urad,118618,38610
143,1998,Autumn     ,Banana,1280,16460
144,1998,Autumn     ,Cotton(lint),30,20
145,1998,Autumn     ,Dry chillies,2000,1200
146,1998,Autumn     ,Dry ginger,360,590
147,1998,Autumn     ,Groundnut,32001,27051
148,1998,Autumn     ,Jute,5323,41613
149,1998,Autumn     ,Maize,53190,76313
150,1998,Autumn     ,Moong(Green Gram),21845,5837
151,1998,Autumn     ,Onion,60,120
152,1998,Autumn     ,Peas & beans (Pulses),850,787
153,1998,Autumn     ,Potato,320,1670
154,1998,Autumn     ,Ragi,41039,28443
155,1998,Autumn     ,Rice,2048299,2198797
156,1998,Autumn     ,Sesamum,8164,2570
157,1998,Autumn     ,Soyabean,270,320
158,1998,Autumn     ,Sugarcane,380,12410
159,1998,Autumn     ,Sweet potato,50,180
160,1998,Autumn     ,Tapioca,30,130
161,1998,Autumn     ,Turmeric,100,70
162,1998,Autumn     ,Urad,35494,9744
163,1998,Kharif     ,Arecanut,66,23
164,1998,Kharif     ,Arhar/Tur,3189075,2554878
165,1998,Kharif     ,Bajra,9139698,6629904
166,1998,Kharif     ,Black pepper,12,7
167,1998,Kharif     ,Blackgram,25116,18601
168,1998,Kharif     ,Castor seed,631676,824456
169,1998,Kharif     ,Coconut ,175,64750
170,1998,Kharif     ,Coriander,2,1
171,1998,Kharif     ,Cotton(lint),9330909,11173461
172,1998,Kharif     ,Dry chillies,161408,395023
173,1998,Kharif     ,Dry ginger,21297,134604
174,1998,Kharif     ,Gram,100,100
175,1998,Kharif     ,Groundnut,6653670,8004452
176,1998,Kharif     ,Horse-gram,334664,161751
177,1998,Kharif     ,Jowar,5167605,5538582
178,1998,Kharif     ,Jute,877339,8840241
179,1998,Kharif     ,Korra,40100,28500
180,1998,Kharif     ,Linseed,51,23
181,1998,Kharif     ,Maize,5003120,8455539
182,1998,Kharif     ,Mesta,110748,803250
183,1998,Kharif     ,Moong(Green Gram),2306346,861553
184,1998,Kharif     ,Moth,921733,124833
185,1998,Kharif     ,Niger seed,127482,35857
186,1998,Kharif     ,Oilseeds total,80,40
187,1998,Kharif     ,Onion,79947,362482
188,1998,Kharif     ,Other Cereals & Millets,134700,78014
189,1998,Kharif     ,Other Kharif pulses,478167,199466
190,1998,Kharif     ,Peas & beans (Pulses),1730,15872
191,1998,Kharif     ,Potato,39515,442464
192,1998,Kharif     ,Pulses total,1017960,506504
193,1998,Kharif     ,Ragi,1455308,2316966
194,1998,Kharif     ,Rapeseed &Mustard,6673,1790
195,1998,Kharif     ,Rice,20363660,44949595
196,1998,Kharif     ,Samai,28400,14300
197,1998,Kharif     ,Sannhamp,3333,2596
198,1998,Kharif     ,Sesamum,1277424,408884
199,1998,Kharif     ,Small millets,830693,326429
200,1998,Kharif     ,Soyabean,6399096,7081431
201,1998,Kharif     ,Sugarcane,532510,47383469
202,1998,Kharif     ,Sunflower,859986,383138
203,1998,Kharif     ,Tapioca,1135,21655
204,1998,Kharif     ,Total foodgrain,4506716,1108801
205,1998,Kharif     ,Urad,1714293,831712
206,1998,Kharif     ,other oilseeds,5340,6338
207,1998,Rabi       ,Arhar/Tur,3100,1957
208,1998,Rabi       ,Bajra,7751,5136
209,1998,Rabi       ,Banana,660,8490
210,1998,Rabi       ,Barley,735384,1476976
211,1998,Rabi       ,Castor seed,90,419
212,1998,Rabi       ,Coriander,395,128
213,1998,Rabi       ,Cotton(lint),10,10
214,1998,Rabi       ,Dry chillies,64440,132340
215,1998,Rabi       ,Gram,8235532,6722800
216,1998,Rabi       ,Groundnut,576656,850395
217,1998,Rabi       ,Horse-gram,231737,92284
218,1998,Rabi       ,Jowar,4705362,3036550
219,1998,Rabi       ,Khesari,23300,20850
220,1998,Rabi       ,Korra,100,100
221,1998,Rabi       ,Linseed,531524,200320
222,1998,Rabi       ,Maize,381985,1093113
223,1998,Rabi       ,Masoor,647759,485062
224,1998,Rabi       ,Moong(Green Gram),155786,63120
225,1998,Rabi       ,Onion,8962,91227
226,1998,Rabi       ,Other  Rabi pulses,829405,605529
227,1998,Rabi       ,Other Cereals & Millets,20500,23400
228,1998,Rabi       ,Peas & beans (Pulses),526769,565375
229,1998,Rabi       ,Potato,8254,115160
230,1998,Rabi       ,Pulses total,3262,2488
231,1998,Rabi       ,Ragi,49233,76501
232,1998,Rabi       ,Rapeseed &Mustard,5271031,4983474
233,1998,Rabi       ,Rice,1576346,5024960
234,1998,Rabi       ,Safflower,419491,235417
235,1998,Rabi       ,Sesamum,122500,32999
236,1998,Rabi       ,Small millets,3535,2744
237,1998,Rabi       ,Sugarcane,10,330
238,1998,Rabi       ,Sunflower,792330,356933
239,1998,Rabi       ,Sweet potato,20,70
240,1998,Rabi       ,Tobacco,966,2421
241,1998,Rabi       ,Urad,370412,240887
242,1998,Rabi       ,Varagu,1700,1500
243,1998,Rabi       ,Wheat,26623885,69694075
244,1998,Rabi       ,other oilseeds,2080,1393
245,1998,Summer     ,Bajra,182846,429098
246,1998,Summer     ,Banana,20,260
247,1998,Summer     ,Cotton(lint),453,372
248,1998,Summer     ,Dry chillies,1230,740
249,1998,Summer     ,Dry ginger,10,20
250,1998,Summer     ,Groundnut,308081,442312
251,1998,Summer     ,Horse-gram,528,795
252,1998,Summer     ,Jowar,8897,23144
253,1998,Summer     ,Jute,10,20
254,1998,Summer     ,Maize,184207,418019
255,1998,Summer     ,Moong(Green Gram),183499,66759
256,1998,Summer     ,Onion,4837,55429
257,1998,Summer     ,Peas & beans (Pulses),2293,14067
258,1998,Summer     ,Potato,1137,19387
259,1998,Summer     ,Ragi,11534,25318
260,1998,Summer     ,Rice,2470570,7328354
261,1998,Summer     ,Sesamum,7864,2754
262,1998,Summer     ,Sugarcane,140,4570
263,1998,Summer     ,Sunflower,58356,36211
264,1998,Summer     ,Urad,70899,33458
265,1998,Summer     ,Wheat,3868,4441
266,1998,Whole Year ,Arecanut,263967,797788
267,1998,Whole Year ,Banana,188405,6208799
268,1998,Whole Year ,Black pepper,189404,79372
269,1998,Whole Year ,Cardamom,68739,8572
270,1998,Whole Year ,Cashewnut,169743,66498
271,1998,Whole Year ,Castor seed,42634,14626
272,1998,Whole Year ,Coconut ,1237469,5283795704
273,1998,Whole Year ,Coriander,282017,199093
274,1998,Whole Year ,Cotton(lint),57,30
275,1998,Whole Year ,Dry chillies,379383,328814
276,1998,Whole Year ,Dry ginger,18357,74886
277,1998,Whole Year ,Garlic,49016,262560
278,1998,Whole Year ,Groundnut,30157,34994
279,1998,Whole Year ,Kapas,555,429
280,1998,Whole Year ,Oilseeds total,2930208,3870962
281,1998,Whole Year ,Onion,162902,2402182
282,1998,Whole Year ,Potato,1027759,19365921
283,1998,Whole Year ,Pulses total,844200,610895
284,1998,Whole Year ,Rapeseed &Mustard,555,136
285,1998,Whole Year ,Sannhamp,17277,20885
286,1998,Whole Year ,Sesamum,100425,85448
287,1998,Whole Year ,Sugarcane,3112758,210811993
288,1998,Whole Year ,Sweet potato,27328,179188
289,1998,Whole Year ,Tapioca,197881,5574601
290,1998,Whole Year ,Tobacco,341306,577241
291,1998,Whole Year ,Total foodgrain,78068,92247
292,1998,Whole Year ,Turmeric,59807,202241
293,1998,Winter     ,Banana,954,12370
294,1998,Winter     ,Coriander,5,4
295,1998,Winter     ,Cotton(lint),30,10
296,1998,Winter     ,Dry chillies,2360,1420
297,1998,Winter     ,Dry ginger,220,360
298,1998,Winter     ,Gram,187,150
299,1998,Winter     ,Groundnut,5987,5184
300,1998,Winter     ,Horse-gram,96407,24195
301,1998,Winter     ,Maize,417,604
302,1998,Winter     ,Moong(Green Gram),106933,18608
303,1998,Winter     ,Onion,20,40
304,1998,Winter     ,Peas & beans (Pulses),630,320
305,1998,Winter     ,Potato,9055,98374
306,1998,Winter     ,Ragi,39112,24271
307,1998,Winter     ,Rapeseed &Mustard,20041,2846
308,1998,Winter     ,Rice,12258077,19259513
309,1998,Winter     ,Sesamum,38329,6833
310,1998,Winter     ,Soyabean,80,100
311,1998,Winter     ,Sugarcane,24024,1597409
312,1998,Winter     ,Sunflower,5,3
313,1998,Winter     ,Sweet potato,10,30
314,1998,Winter     ,Turmeric,40,20
315,1998,Winter     ,Urad,100561,28577
316,1998,Winter     ,Wheat,537,920
317,1999,Autumn     ,Dry chillies,16849,13874
318,1999,Autumn     ,Rice,1902900,2338002
319,1999,Autumn     ,Sannhamp,1448,7810
320,1999,Autumn     ,Sesamum,891,406
321,1999,Kharif     ,Arhar/Tur,2964028,2505467
322,1999,Kharif     ,Bajra,8701529,5406371.7
323,1999,Kharif     ,Banana,22,440
324,1999,Kharif     ,Barley,34,9.8
325,1999,Kharif     ,Castor seed,779273,765381
326,1999,Kharif     ,Coconut ,175,700
327,1999,Kharif     ,Cond-spcs other,892,675.4
328,1999,Kharif     ,Cotton(lint),8717476,10642915
329,1999,Kharif     ,Dry chillies,44090,38300
330,1999,Kharif     ,Dry ginger,43982,209698
331,1999,Kharif     ,Groundnut,6229902,4487888.1
332,1999,Kharif     ,Horse-gram,309698,139829
333,1999,Kharif     ,Jowar,5000885,5082274.2
334,1999,Kharif     ,Jute,854538,9470088
335,1999,Kharif     ,Jute & mesta,2365,17955
336,1999,Kharif     ,Korra,4517,2030
337,1999,Kharif     ,Maize,5638162,9575934
338,1999,Kharif     ,Masoor,428278,153393
339,1999,Kharif     ,Mesta,77350,433271
340,1999,Kharif     ,Moong(Green Gram),2250826,845174
341,1999,Kharif     ,Moth,797594,33229
342,1999,Kharif     ,Niger seed,384408,108263
343,1999,Kharif     ,Other Cereals & Millets,11400,3300
344,1999,Kharif     ,Other Kharif pulses,1130963,330198
345,1999,Kharif     ,Peas & beans (Pulses),8576,13995
346,1999,Kharif     ,Ragi,1513440,2067300.2
347,1999,Kharif     ,Rice,21618040,49367858.6
348,1999,Kharif     ,Sannhamp,29,17
349,1999,Kharif     ,Sesamum,1435119,436075.6
350,1999,Kharif     ,Small millets,309920,171990
351,1999,Kharif     ,Soyabean,5959717,6819977
352,1999,Kharif     ,Sunflower,500141,256829
353,1999,Kharif     ,Sweet potato,34100,292450
354,1999,Kharif     ,Turmeric,28120,61180
355,1999,Kharif     ,Urad,2415196,1029884
356,1999,Kharif     ,Varagu,19937,22576
357,1999,Rabi       ,Bajra,10039,6886
358,1999,Rabi       ,Barley,661382,1384450.8
359,1999,Rabi       ,Castor seed,9720,4800
360,1999,Rabi       ,Cond-spcs other,1875,1585
361,1999,Rabi       ,Coriander,25170,10330
362,1999,Rabi       ,Dry chillies,103713,88050
363,1999,Rabi       ,Garlic,17610,52280
364,1999,Rabi       ,Gram,6028727,4979389.5
365,1999,Rabi       ,Groundnut,613898,877872
366,1999,Rabi       ,Horse-gram,589687,219434
367,1999,Rabi       ,Jowar,5324266,3692471
368,1999,Rabi       ,Khesari,184055,181971
369,1999,Rabi       ,Linseed,532235,213357.6
370,1999,Rabi       ,Maize,438157,1261796
371,1999,Rabi       ,Masoor,303655,275017
372,1999,Rabi       ,Moong(Green Gram),771928,313522
373,1999,Rabi       ,Niger seed,19010,7020
374,1999,Rabi       ,Other  Rabi pulses,1135582,598082
375,1999,Rabi       ,Peas & beans (Pulses),49361,54172
376,1999,Rabi       ,Ragi,71142,83975
377,1999,Rabi       ,Rapeseed &Mustard,5624473,5314797.1
