,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,P/A
9610,Andhra Pradesh,WEST GODAVARI,2008,Whole Year ,Banana,7334,142470,19.42596128
9612,Andhra Pradesh,WEST GODAVARI,2008,Whole Year ,Coconut ,22435,177186204,7897.758146
9613,Andhra Pradesh,WEST GODAVARI,2008,Whole Year ,Sugarcane,29394,2981148,101.4202899
9617,Andhra Pradesh,WEST GODAVARI,2008,Whole Year ,Tobacco,29053,55748,1.918837986
9626,Andhra Pradesh,WEST GODAVARI,2009,Kharif     ,Rice,212887,660163,3.10100194
9636,Andhra Pradesh,WEST GODAVARI,2009,Rabi       ,Maize,44669,311209,6.967001724
9639,Andhra Pradesh,WEST GODAVARI,2009,Rabi       ,Rice,115690,454893,3.931999308
9643,Andhra Pradesh,WEST GODAVARI,2009,Whole Year ,Banana,7631,219223,28.72795178
9645,Andhra Pradesh,WEST GODAVARI,2009,Whole Year ,Coconut ,20504,289443441,14116.43782
9646,Andhra Pradesh,WEST GODAVARI,2009,Whole Year ,Sugarcane,20329,2027847,99.75143883
9650,Andhra Pradesh,WEST GODAVARI,2009,Whole Year ,Tobacco,29229,56548,1.93465394
9659,Andhra Pradesh,WEST GODAVARI,2010,Kharif     ,Rice,256147,558800,2.181559807
9666,Andhra Pradesh,WEST GODAVARI,2010,Rabi       ,Maize,42722,296106,6.93099574
9668,Andhra Pradesh,WEST GODAVARI,2010,Rabi       ,Rice,200369,931515,4.648997599
9672,Andhra Pradesh,WEST GODAVARI,2010,Whole Year ,Banana,8420,212967,25.29299287
9676,Andhra Pradesh,WEST GODAVARI,2010,Whole Year ,Sugarcane,26564,2546933,95.87912212
9679,Andhra Pradesh,WEST GODAVARI,2010,Whole Year ,Tobacco,28168,52357,1.858740415
9686,Andhra Pradesh,WEST GODAVARI,2011,Kharif     ,Maize,3171,18579,5.859035005
9688,Andhra Pradesh,WEST GODAVARI,2011,Kharif     ,other oilseeds,29025,662844,22.83700258
9689,Andhra Pradesh,WEST GODAVARI,2011,Kharif     ,Rice,240266,764242,3.180816262
9698,Andhra Pradesh,WEST GODAVARI,2011,Rabi       ,Maize,45188,306058,6.77299283
9701,Andhra Pradesh,WEST GODAVARI,2011,Rabi       ,Rice,123519,544225,4.406002315
9704,Andhra Pradesh,WEST GODAVARI,2011,Whole Year ,Banana,10098,348290,34.49098831
9706,Andhra Pradesh,WEST GODAVARI,2011,Whole Year ,Coconut ,20551,343423125,16710.77441
9708,Andhra Pradesh,WEST GODAVARI,2011,Whole Year ,Sugarcane,27054,2506788,92.65868263
9711,Andhra Pradesh,WEST GODAVARI,2011,Whole Year ,Tobacco,25908,47275,1.824725953
9716,Andhra Pradesh,WEST GODAVARI,2012,Kharif     ,Cotton(lint),6425,21732,3.382412451
9720,Andhra Pradesh,WEST GODAVARI,2012,Kharif     ,Lemon,3570,30138,8.442016807
9722,Andhra Pradesh,WEST GODAVARI,2012,Kharif     ,Mango,6971,101832,14.60794721
9724,Andhra Pradesh,WEST GODAVARI,2012,Kharif     ,Papaya,307,33442,108.9315961
9725,Andhra Pradesh,WEST GODAVARI,2012,Kharif     ,Rice,242832,482993,1.989000626
9727,Andhra Pradesh,WEST GODAVARI,2012,Kharif     ,Sugarcane,24411,2174825,89.0920077
9739,Andhra Pradesh,WEST GODAVARI,2012,Rabi       ,Maize,49482,301197,6.087001334
9741,Andhra Pradesh,WEST GODAVARI,2012,Rabi       ,Rice,179674,806377,4.48800049
9745,Andhra Pradesh,WEST GODAVARI,2012,Rabi       ,Tobacco,26693,46701,1.74955981
9748,Andhra Pradesh,WEST GODAVARI,2012,Whole Year ,Coconut ,20196,405213000,20064.02258
9757,Andhra Pradesh,WEST GODAVARI,2013,Kharif     ,Lemon,3492,26829,7.682989691
9759,Andhra Pradesh,WEST GODAVARI,2013,Kharif     ,Mango,7904,62600,7.920040486
9761,Andhra Pradesh,WEST GODAVARI,2013,Kharif     ,other oilseeds,34337,768771,22.38899729
9762,Andhra Pradesh,WEST GODAVARI,2013,Kharif     ,Papaya,327,32012,97.89602446
9764,Andhra Pradesh,WEST GODAVARI,2013,Kharif     ,Rice,240396,521419,2.169000316
9767,Andhra Pradesh,WEST GODAVARI,2013,Kharif     ,Sugarcane,24026,2214048,92.15216848
9780,Andhra Pradesh,WEST GODAVARI,2013,Rabi       ,Maize,50712,369082,7.278001262
9782,Andhra Pradesh,WEST GODAVARI,2013,Rabi       ,Rice,180223,820916,4.555001304
9785,Andhra Pradesh,WEST GODAVARI,2013,Rabi       ,Tobacco,26471,45260,1.709795625
9788,Andhra Pradesh,WEST GODAVARI,2013,Whole Year ,Banana,9460,205367,21.7089852
9790,Andhra Pradesh,WEST GODAVARI,2013,Whole Year ,Coconut ,21355,448904000,21021.02552
9799,Andhra Pradesh,WEST GODAVARI,2014,Kharif     ,Lemon,3991,29885,7.488098221
9801,Andhra Pradesh,WEST GODAVARI,2014,Kharif     ,Mango,7614,104022,13.66193853
9803,Andhra Pradesh,WEST GODAVARI,2014,Kharif     ,other oilseeds,36494,795569,21.79999452
9804,Andhra Pradesh,WEST GODAVARI,2014,Kharif     ,Papaya,229,18034,78.7510917
9805,Andhra Pradesh,WEST GODAVARI,2014,Kharif     ,Rice,231475,733313,3.168000864
9809,Andhra Pradesh,WEST GODAVARI,2014,Kharif     ,Sugarcane,19090,1732242,90.74080671
9821,Andhra Pradesh,WEST GODAVARI,2014,Rabi       ,Maize,52635,354444,6.73399829
9823,Andhra Pradesh,WEST GODAVARI,2014,Rabi       ,Rice,177811,891011,5.011000444
9826,Andhra Pradesh,WEST GODAVARI,2014,Rabi       ,Tobacco,28046,89107,3.177173215
9829,Andhra Pradesh,WEST GODAVARI,2014,Whole Year ,Coconut ,21729,718991000,33089.00548
9830,Andhra Pradesh,WEST GODAVARI,2014,Whole Year ,Rice,409286,1624324,3.96867716
10004,Arunachal Pradesh,CHANGLANG,2003,Kharif     ,Rice,11867,18508,1.559619112
10015,Arunachal Pradesh,CHANGLANG,2004,Kharif     ,Rice,11885,18630,1.567522087
10024,Arunachal Pradesh,CHANGLANG,2005,Kharif     ,Rice,11905,18667,1.56799664
10044,Arunachal Pradesh,CHANGLANG,2007,Kharif     ,Rice,15622,27398,1.753808731
10054,Arunachal Pradesh,CHANGLANG,2008,Kharif     ,Rice,16763,35010,2.088528306
10069,Arunachal Pradesh,CHANGLANG,2009,Whole Year ,Oilseeds total,8519,23459,2.753726963
10074,Arunachal Pradesh,CHANGLANG,2010,Kharif     ,Rice,9585,18265,1.905581638
10084,Arunachal Pradesh,CHANGLANG,2011,Kharif     ,Rice,10260,20873,2.034405458
10094,Arunachal Pradesh,CHANGLANG,2012,Kharif     ,Rice,9605,19512,2.031441957
10103,Arunachal Pradesh,CHANGLANG,2013,Kharif     ,Rice,9681,19750,2.040078504
10113,Arunachal Pradesh,CHANGLANG,2014,Kharif     ,Rice,9081,20169,2.221010902
10149,Arunachal Pradesh,DIBANG VALLEY,1999,Whole Year ,Dry ginger,2310,19635,8.5
10169,Arunachal Pradesh,DIBANG VALLEY,2001,Whole Year ,Dry ginger,2420,21780,9
10454,Arunachal Pradesh,EAST SIANG,1999,Kharif     ,Rice,11600,19261,1.660431034
10465,Arunachal Pradesh,EAST SIANG,2000,Kharif     ,Rice,12310,19500,1.584077985
10486,Arunachal Pradesh,EAST SIANG,2002,Kharif     ,Rice,12330,26605,2.157745337
10497,Arunachal Pradesh,EAST SIANG,2003,Kharif     ,Rice,12100,28000,2.314049587
10508,Arunachal Pradesh,EAST SIANG,2004,Kharif     ,Rice,12526,17499,1.39701421
10518,Arunachal Pradesh,EAST SIANG,2005,Kharif     ,Rice,12800,19535,1.526171875
10528,Arunachal Pradesh,EAST SIANG,2006,Kharif     ,Rice,13137,19729,1.501788841
10538,Arunachal Pradesh,EAST SIANG,2007,Kharif     ,Rice,13000,19799,1.523
10548,Arunachal Pradesh,EAST SIANG,2008,Kharif     ,Rice,13142,19761,1.503652412
10558,Arunachal Pradesh,EAST SIANG,2009,Kharif     ,Rice,14147,20775.33,1.468532551
10563,Arunachal Pradesh,EAST SIANG,2009,Whole Year ,Oilseeds total,14147,31163,2.20279918
10568,Arunachal Pradesh,EAST SIANG,2010,Kharif     ,Rice,15137,24103,1.592323446
10578,Arunachal Pradesh,EAST SIANG,2011,Kharif     ,Rice,15378,26268,1.708154506
10588,Arunachal Pradesh,EAST SIANG,2012,Kharif     ,Rice,16770,27098,1.615861658
10598,Arunachal Pradesh,EAST SIANG,2013,Kharif     ,Rice,16770,27044,1.612641622
10608,Arunachal Pradesh,EAST SIANG,2014,Kharif     ,Rice,16120,27463,1.70366005
10717,Arunachal Pradesh,LOHIT,1997,Kharif     ,Rice,15070,19600,1.300597213
10728,Arunachal Pradesh,LOHIT,1998,Kharif     ,Rice,13015,18221,1.4
10743,Arunachal Pradesh,LOHIT,1999,Kharif     ,Rice,14000,20900,1.492857143
10787,Arunachal Pradesh,LOHIT,2003,Kharif     ,Rice,14257,19390,1.360033668
10838,Arunachal Pradesh,LOHIT,2008,Kharif     ,Rice,10412,17952,1.724164426
10848,Arunachal Pradesh,LOHIT,2009,Kharif     ,Rice,11770,19541.33,1.66026593
10853,Arunachal Pradesh,LOHIT,2009,Whole Year ,Oilseeds total,11770,29312,2.49039932
10858,Arunachal Pradesh,LOHIT,2010,Kharif     ,Rice,11654,20263,1.738716321
10868,Arunachal Pradesh,LOHIT,2011,Kharif     ,Rice,11839,22082,1.865191317
10878,Arunachal Pradesh,LOHIT,2012,Kharif     ,Rice,12239,23512,1.921071983
10887,Arunachal Pradesh,LOHIT,2013,Kharif     ,Rice,12150,21662,1.782880658
10897,Arunachal Pradesh,LOHIT,2014,Kharif     ,Rice,11450,22080,1.928384279
10934,Arunachal Pradesh,LOWER DIBANG VALLEY,2003,Whole Year ,Dry ginger,2225,18912,8.499775281
10965,Arunachal Pradesh,LOWER DIBANG VALLEY,2006,Whole Year ,Dry ginger,2750,20625,7.5
10975,Arunachal Pradesh,LOWER DIBANG VALLEY,2007,Whole Year ,Dry ginger,2850,21375,7.5
10985,Arunachal Pradesh,LOWER DIBANG VALLEY,2008,Whole Year ,Dry ginger,2833,21248,7.500176491
10995,Arunachal Pradesh,LOWER DIBANG VALLEY,2009,Whole Year ,Dry ginger,2855,21413,7.500175131
11005,Arunachal Pradesh,LOWER DIBANG VALLEY,2010,Whole Year ,Dry ginger,2880,21600,7.5
11015,Arunachal Pradesh,LOWER DIBANG VALLEY,2011,Whole Year ,Dry ginger,2966,22305,7.520229265
11025,Arunachal Pradesh,LOWER DIBANG VALLEY,2012,Whole Year ,Dry ginger,2960,23680,8
11034,Arunachal Pradesh,LOWER DIBANG VALLEY,2013,Whole Year ,Dry ginger,2980,23840,8
11044,Arunachal Pradesh,LOWER DIBANG VALLEY,2014,Whole Year ,Dry ginger,3067,24130,7.867623084
11050,Arunachal Pradesh,LOWER SUBANSIRI,1997,Kharif     ,Rice,21064,19900,0.94473984
11086,Arunachal Pradesh,LOWER SUBANSIRI,2000,Kharif     ,Rice,18150,18150,1
11108,Arunachal Pradesh,LOWER SUBANSIRI,2002,Kharif     ,Rice,14800,17465,1.180067568
11176,Arunachal Pradesh,LOWER SUBANSIRI,2009,Whole Year ,Oilseeds total,10193,18817,1.846070833
11350,Arunachal Pradesh,PAPUM PARE,2009,Whole Year ,Oilseeds total,9076,23734,2.615028647
11385,Arunachal Pradesh,PAPUM PARE,2013,Kharif     ,Rice,12025,22686,1.886569647
11395,Arunachal Pradesh,PAPUM PARE,2014,Kharif     ,Rice,11325,23105,2.0401766
12203,Arunachal Pradesh,WEST SIANG,1998,Kharif     ,Rice,19170,17714,0.924047992
12218,Arunachal Pradesh,WEST SIANG,1999,Kharif     ,Rice,19291,21816,1.130890052
12229,Arunachal Pradesh,WEST SIANG,2000,Kharif     ,Rice,19291,21816,1.130890052
12240,Arunachal Pradesh,WEST SIANG,2001,Kharif     ,Rice,19291,21872,1.13379296
12251,Arunachal Pradesh,WEST SIANG,2002,Kharif     ,Rice,19953,22135,1.109356989
12262,Arunachal Pradesh,WEST SIANG,2003,Kharif     ,Rice,19355,22345,1.154482046
12273,Arunachal Pradesh,WEST SIANG,2004,Kharif     ,Rice,23857,18436,0.772771094
12282,Arunachal Pradesh,WEST SIANG,2005,Kharif     ,Rice,24000,22900,0.954166667
12291,Arunachal Pradesh,WEST SIANG,2006,Kharif     ,Rice,24343,21275,0.873967876
12301,Arunachal Pradesh,WEST SIANG,2007,Kharif     ,Rice,24951,21935,0.879123081
12311,Arunachal Pradesh,WEST SIANG,2008,Kharif     ,Rice,25106,22309,0.888592368
12321,Arunachal Pradesh,WEST SIANG,2009,Kharif     ,Rice,25136,22455.33,0.893353358
12326,Arunachal Pradesh,WEST SIANG,2009,Whole Year ,Oilseeds total,25136,33683,1.340030236
12331,Arunachal Pradesh,WEST SIANG,2010,Kharif     ,Rice,25148,22569,0.897447113
12341,Arunachal Pradesh,WEST SIANG,2011,Kharif     ,Rice,25547,24596,0.962774494
12351,Arunachal Pradesh,WEST SIANG,2012,Kharif     ,Rice,25528,24632,0.964901285
12360,Arunachal Pradesh,WEST SIANG,2013,Kharif     ,Rice,25561,24801,0.970267204
12369,Arunachal Pradesh,WEST SIANG,2014,Kharif     ,Rice,24811,25220,1.016484624
12397,Assam,BAKSA,2005,Whole Year ,Banana,1191,17437,14.64063812
12400,Assam,BAKSA,2005,Whole Year ,Potato,3501,17666,5.045986861
12406,Assam,BAKSA,2005,Winter     ,Rice,66229,93287,1.408552145
12407,Assam,BAKSA,2006,Autumn     ,Rice,26235,23208,0.884619783
12426,Assam,BAKSA,2006,Summer     ,Rice,12737,25691,2.017036979
12428,Assam,BAKSA,2006,Whole Year ,Banana,2131,31200,14.64101361
12429,Assam,BAKSA,2006,Whole Year ,Coconut ,1456,11113000,7632.554945
12432,Assam,BAKSA,2006,Whole Year ,Potato,4763,30926,6.492966618
12438,Assam,BAKSA,2006,Winter     ,Rice,52195,67915,1.301178274
12439,Assam,BAKSA,2007,Autumn     ,Rice,21551,20266,0.940373997
12460,Assam,BAKSA,2007,Whole Year ,Banana,2157,31581,14.64116829
12462,Assam,BAKSA,2007,Whole Year ,Coconut ,1288,10001000,7764.751553
12466,Assam,BAKSA,2007,Whole Year ,Potato,4535,34763,7.665490628
12472,Assam,BAKSA,2007,Winter     ,Rice,58558,73246,1.250828239
12473,Assam,BAKSA,2008,Autumn     ,Rice,13587,18640,1.37189961
12492,Assam,BAKSA,2008,Summer     ,Rice,11712,20949,1.788678279
12494,Assam,BAKSA,2008,Whole Year ,Banana,1712,25065,14.64077103
12496,Assam,BAKSA,2008,Whole Year ,Coconut ,1323,12408000,9378.684807
12500,Assam,BAKSA,2008,Whole Year ,Potato,5049,31571,6.252921371
12501,Assam,BAKSA,2008,Whole Year ,Sugarcane,491,18848,38.38696538
12506,Assam,BAKSA,2008,Winter     ,Rice,69495,124614,1.793136197
12507,Assam,BAKSA,2009,Autumn     ,Rice,13217,21279,1.609972006
12517,Assam,BAKSA,2009,Rabi       ,Banana,1733,25373,14.64108482
12528,Assam,BAKSA,2009,Whole Year ,Banana,1733,25373,14.64108482
12530,Assam,BAKSA,2009,Whole Year ,Coconut ,1050,9634000,9175.238095
12534,Assam,BAKSA,2009,Whole Year ,Potato,4782,28022,5.859891259
12535,Assam,BAKSA,2009,Whole Year ,Sugarcane,550,21511,39.11090909
12540,Assam,BAKSA,2009,Winter     ,Rice,68453,109965,1.60643069
12564,Assam,BAKSA,2010,Whole Year ,Coconut ,1050,9634000,9175.238095
12568,Assam,BAKSA,2010,Whole Year ,Potato,3750,25359,6.7624
12574,Assam,BAKSA,2010,Winter     ,Rice,84168,134217,1.594632164
12606,Assam,BAKSA,2011,Whole Year ,Banana,1250,19425,15.54
12609,Assam,BAKSA,2011,Whole Year ,Potato,3237,18544,5.728761199
12612,Assam,BAKSA,2011,Winter     ,Paddy,85450,153149,1.792264482
12613,Assam,BAKSA,2011,Winter     ,Rice,85450,153149,1.792264482
12647,Assam,BAKSA,2012,Whole Year ,Potato,4200,32759,7.799761905
12650,Assam,BAKSA,2012,Winter     ,Paddy,85485,157009,1.836684799
12651,Assam,BAKSA,2012,Winter     ,Rice,85485,157009,1.836684799
12683,Assam,BAKSA,2013,Whole Year ,Banana,1250,20675,16.54
12686,Assam,BAKSA,2013,Whole Year ,Potato,4205,19430,4.620689655
12689,Assam,BAKSA,2013,Winter     ,Paddy,85730,161484,1.883634667
12690,Assam,BAKSA,2013,Winter     ,Rice,85730,161484,1.883634667
12691,Assam,BAKSA,2014,Autumn     ,Paddy,10800,18283,1.69287037
12692,Assam,BAKSA,2014,Autumn     ,Rice,10800,18283,1.69287037
12721,Assam,BAKSA,2014,Whole Year ,Banana,1250,20675,16.54
12723,Assam,BAKSA,2014,Whole Year ,Potato,4250,23506,5.530823529
12726,Assam,BAKSA,2014,Winter     ,Paddy,86070,195027,2.265911467
12727,Assam,BAKSA,2014,Winter     ,Rice,86070,195027,2.265911467
12728,Assam,BARPETA,1997,Autumn     ,Rice,83560,43512,0.520727621
12732,Assam,BARPETA,1997,Kharif     ,Jute,8120,52544,6.470935961
12748,Assam,BARPETA,1997,Whole Year ,Potato,10610,165586,15.60659755
12753,Assam,BARPETA,1997,Winter     ,Rice,103015,76589,0.743474251
12754,Assam,BARPETA,1998,Autumn     ,Rice,83355,46436,0.557087157
12758,Assam,BARPETA,1998,Kharif     ,Jute,8000,56138,7.01725
12769,Assam,BARPETA,1998,Summer     ,Rice,16435,32739,1.992029206
12771,Assam,BARPETA,1998,Whole Year ,Banana,5130,77207,15.05009747
12772,Assam,BARPETA,1998,Whole Year ,Coconut ,1122,8065000,7188.057041
12775,Assam,BARPETA,1998,Whole Year ,Potato,10990,120458,10.96069154
12781,Assam,BARPETA,1998,Winter     ,Rice,88835,93412,1.051522486
12782,Assam,BARPETA,1999,Autumn     ,Rice,83830,59762,0.712895145
12786,Assam,BARPETA,1999,Kharif     ,Jute,8000,51600,6.45
12797,Assam,BARPETA,1999,Summer     ,Rice,18637,57626,3.092021248
12799,Assam,BARPETA,1999,Whole Year ,Banana,5130,77207,15.05009747
12800,Assam,BARPETA,1999,Whole Year ,Coconut ,1125,7929000,7048
12803,Assam,BARPETA,1999,Whole Year ,Potato,8920,122678,13.75313901
12809,Assam,BARPETA,1999,Winter     ,Rice,104375,121735,1.166323353
12810,Assam,BARPETA,2000,Autumn     ,Rice,73675,60705,0.823956566
12814,Assam,BARPETA,2000,Kharif     ,Jute,5800,42670,7.356896552
12825,Assam,BARPETA,2000,Summer     ,Rice,25005,58014,2.320095981
12827,Assam,BARPETA,2000,Whole Year ,Banana,5131,77222,15.0500877
12828,Assam,BARPETA,2000,Whole Year ,Coconut ,1125,8627000,7668.444444
12831,Assam,BARPETA,2000,Whole Year ,Potato,10675,113940,10.6735363
12837,Assam,BARPETA,2000,Winter     ,Rice,97175,120609,1.24115256
12838,Assam,BARPETA,2001,Autumn     ,Rice,56482,40845,0.723150738
12842,Assam,BARPETA,2001,Kharif     ,Jute,7936,72412,9.124495968
12857,Assam,BARPETA,2001,Summer     ,Rice,18510,39355,2.126148028
12859,Assam,BARPETA,2001,Whole Year ,Banana,5134,77267,15.05005843
12860,Assam,BARPETA,2001,Whole Year ,Coconut ,1130,8218000,7272.566372
12863,Assam,BARPETA,2001,Whole Year ,Potato,10805,94244,8.722258214
12869,Assam,BARPETA,2001,Winter     ,Rice,97500,119034,1.220861538
12870,Assam,BARPETA,2002,Autumn     ,Rice,63725,38265,0.600470773
12874,Assam,BARPETA,2002,Kharif     ,Jute,7960,70985,8.917713568
12889,Assam,BARPETA,2002,Summer     ,Rice,16000,35031,2.1894375
12891,Assam,BARPETA,2002,Whole Year ,Banana,3170,47709,15.05015773
12892,Assam,BARPETA,2002,Whole Year ,Coconut ,957,4997000,5221.525601
12898,Assam,BARPETA,2002,Whole Year ,Potato,8750,73993,8.456342857
12904,Assam,BARPETA,2002,Winter     ,Rice,99500,111714,1.122753769
12905,Assam,BARPETA,2003,Autumn     ,Rice,58500,41992,0.717811966
12909,Assam,BARPETA,2003,Kharif     ,Jute,7775,77543,9.973376206
12921,Assam,BARPETA,2003,Rabi       ,Rapeseed &Mustard,28740,17948,0.624495477
12924,Assam,BARPETA,2003,Summer     ,Rice,17400,37888,2.177471264
12926,Assam,BARPETA,2003,Whole Year ,Banana,3205,48235,15.049922
12927,Assam,BARPETA,2003,Whole Year ,Coconut ,951,6010000,6319.663512
12933,Assam,BARPETA,2003,Whole Year ,Potato,9520,83065,8.725315126
12939,Assam,BARPETA,2003,Winter     ,Rice,99750,128640,1.28962406
12958,Assam,BARPETA,2004,Summer     ,Rice,19645,33526,1.706592008
12959,Assam,BARPETA,2004,Whole Year ,Coconut ,982,4264000,4342.158859
12962,Assam,BARPETA,2004,Whole Year ,Potato,8640,76249,8.825115741
12967,Assam,BARPETA,2004,Winter     ,Rice,62225,74492,1.197139413
12968,Assam,BARPETA,2005,Autumn     ,Rice,51500,39916,0.775067961
12972,Assam,BARPETA,2005,Kharif     ,Jute,7006,65703,9.378104482
12987,Assam,BARPETA,2005,Summer     ,Rice,13897,20379,1.466431604
12989,Assam,BARPETA,2005,Whole Year ,Banana,2417,36376,15.05006206
12992,Assam,BARPETA,2005,Whole Year ,Potato,5192,21463,4.133859784
12998,Assam,BARPETA,2005,Winter     ,Rice,52755,75339,1.428092124
12999,Assam,BARPETA,2006,Autumn     ,Rice,46504,29973,0.644525202
13003,Assam,BARPETA,2006,Kharif     ,Jute,6294,63576,10.10104862
13018,Assam,BARPETA,2006,Summer     ,Rice,15213,32963,2.166765267
13020,Assam,BARPETA,2006,Whole Year ,Banana,2451,36888,15.0501836
13021,Assam,BARPETA,2006,Whole Year ,Coconut ,609,4350000,7142.857143
13024,Assam,BARPETA,2006,Whole Year ,Potato,7256,37566,5.177232635
13030,Assam,BARPETA,2006,Winter     ,Rice,50173,51355,1.023558488
13031,Assam,BARPETA,2007,Autumn     ,Rice,33564,18202,0.542307234
13035,Assam,BARPETA,2007,Kharif     ,Jute,3774,39205,10.3881823
13050,Assam,BARPETA,2007,Summer     ,Rice,16829,37462,2.226038386
13052,Assam,BARPETA,2007,Whole Year ,Banana,2300,34615,15.05
13054,Assam,BARPETA,2007,Whole Year ,Coconut ,1554,12058000,7759.330759
13058,Assam,BARPETA,2007,Whole Year ,Potato,6715,63012,9.383767684
13064,Assam,BARPETA,2007,Winter     ,Rice,53821,63911,1.187473291
13065,Assam,BARPETA,2008,Autumn     ,Rice,48880,43134,0.882446809
13069,Assam,BARPETA,2008,Kharif     ,Jute,5667,46004,8.117875419
13084,Assam,BARPETA,2008,Summer     ,Rice,42937,85624,1.994177516
13086,Assam,BARPETA,2008,Whole Year ,Banana,2210,33040,14.95022624
13088,Assam,BARPETA,2008,Whole Year ,Coconut ,1154,10949000,9487.868284
13092,Assam,BARPETA,2008,Whole Year ,Potato,6689,54260,8.111825385
13098,Assam,BARPETA,2008,Winter     ,Rice,72524,92763,1.27906624
13099,Assam,BARPETA,2009,Autumn     ,Rice,50063,40476,0.808501288
13103,Assam,BARPETA,2009,Kharif     ,Jute,7182,61035,8.498329156
13109,Assam,BARPETA,2009,Rabi       ,Banana,2329,34975,15.01717475
13118,Assam,BARPETA,2009,Summer     ,Rice,48309,121935,2.524063839
13120,Assam,BARPETA,2009,Whole Year ,Banana,2329,34975,15.01717475
13122,Assam,BARPETA,2009,Whole Year ,Coconut ,1924,16993000,8832.120582
13126,Assam,BARPETA,2009,Whole Year ,Potato,6127,40179,6.557695446
13132,Assam,BARPETA,2009,Winter     ,Rice,73690,104134,1.413136111
13133,Assam,BARPETA,2010,Autumn     ,Rice,39756,33805,0.850311903
13137,Assam,BARPETA,2010,Kharif     ,Jute,6469,50524,7.810171588
13144,Assam,BARPETA,2010,Rabi       ,Banana,1979,29697,15.00606367
13153,Assam,BARPETA,2010,Summer     ,Rice,51581,131465,2.548709796
13154,Assam,BARPETA,2010,Whole Year ,Banana,1979,29697,15.00606367
13156,Assam,BARPETA,2010,Whole Year ,Coconut ,1924,16993000,8832.120582
13160,Assam,BARPETA,2010,Whole Year ,Potato,7381,67994,9.21203089
13166,Assam,BARPETA,2010,Winter     ,Rice,74406,148961,2.002002527
13172,Assam,BARPETA,2011,Kharif     ,Jute,6151,61441,9.988782312
13196,Assam,BARPETA,2011,Summer     ,Paddy,51708,174318,3.371199814
13197,Assam,BARPETA,2011,Summer     ,Rice,51708,174318,3.371199814
13198,Assam,BARPETA,2011,Whole Year ,Banana,2469,38079,15.42284326
13199,Assam,BARPETA,2011,Whole Year ,Coconut ,1941,31488,16.22256569
13201,Assam,BARPETA,2011,Whole Year ,Potato,8049,63643,7.906944962
13204,Assam,BARPETA,2011,Winter     ,Paddy,78281,110441,1.410827659
13205,Assam,BARPETA,2011,Winter     ,Rice,78281,110441,1.410827659
13235,Assam,BARPETA,2012,Summer     ,Rice,52921,163375,3.087148769
13236,Assam,BARPETA,2012,Whole Year ,Banana,2280,35650,15.63596491
13239,Assam,BARPETA,2012,Whole Year ,Potato,7885,84080,10.66328472
13242,Assam,BARPETA,2012,Winter     ,Paddy,66597,107022,1.607009325
13243,Assam,BARPETA,2012,Winter     ,Rice,66597,107022,1.607009325
13249,Assam,BARPETA,2013,Kharif     ,Jute,5829,50564,8.674558243
13273,Assam,BARPETA,2013,Summer     ,Paddy,47877,158072,3.301627086
13274,Assam,BARPETA,2013,Summer     ,Rice,47877,158072,3.301627086
13275,Assam,BARPETA,2013,Whole Year ,Banana,2395,37448,15.63590814
13276,Assam,BARPETA,2013,Whole Year ,Coconut ,1930,24996,12.95129534
13278,Assam,BARPETA,2013,Whole Year ,Potato,8117,65353,8.05137366
13281,Assam,BARPETA,2013,Winter     ,Paddy,67630,123146,1.820878308
13282,Assam,BARPETA,2013,Winter     ,Rice,67630,123146,1.820878308
13283,Assam,BARPETA,2014,Autumn     ,Paddy,17551,18634,1.061705886
13284,Assam,BARPETA,2014,Autumn     ,Rice,17551,18634,1.061705886
13288,Assam,BARPETA,2014,Kharif     ,Jute,6725,69594,10.34855019
13311,Assam,BARPETA,2014,Summer     ,Paddy,49261,141830,2.879153895
13312,Assam,BARPETA,2014,Summer     ,Rice,49261,141830,2.879153895
13313,Assam,BARPETA,2014,Whole Year ,Banana,2531,39575,15.63611221
13315,Assam,BARPETA,2014,Whole Year ,Potato,8358,80924,9.682220627
13318,Assam,BARPETA,2014,Winter     ,Paddy,69154,102046,1.475634092
13319,Assam,BARPETA,2014,Winter     ,Rice,69154,102046,1.475634092
13323,Assam,BONGAIGAON,1997,Kharif     ,Jute,5925,63278,10.67983122
13339,Assam,BONGAIGAON,1997,Whole Year ,Potato,2720,21843,8.030514706
13344,Assam,BONGAIGAON,1997,Winter     ,Rice,56841,38596,0.679016907
13345,Assam,BONGAIGAON,1998,Autumn     ,Rice,33335,28062,0.841817909
13349,Assam,BONGAIGAON,1998,Kharif     ,Jute,4831,46317,9.587456013
13363,Assam,BONGAIGAON,1998,Whole Year ,Coconut ,482,1820000,3775.93361
13366,Assam,BONGAIGAON,1998,Whole Year ,Potato,2508,22669,9.038676236
13372,Assam,BONGAIGAON,1998,Winter     ,Rice,56133,54267,0.966757522
13373,Assam,BONGAIGAON,1999,Autumn     ,Rice,32940,23441,0.711627201
13377,Assam,BONGAIGAON,1999,Kharif     ,Jute,4735,56937,12.02470961
13391,Assam,BONGAIGAON,1999,Whole Year ,Coconut ,530,3200000,6037.735849
13394,Assam,BONGAIGAON,1999,Whole Year ,Potato,2560,19715,7.701171875
13400,Assam,BONGAIGAON,1999,Winter     ,Rice,57620,62814,1.090142312
