,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,P/A
1313,Andhra Pradesh,CHITTOOR,2004,Rabi       ,Rice,25822,69177,2.678994656
1318,Andhra Pradesh,CHITTOOR,2004,Whole Year ,Banana,586,30560,52.15017065
1320,Andhra Pradesh,CHITTOOR,2004,Whole Year ,Coconut ,4165,31934060,7667.241297
1322,Andhra Pradesh,CHITTOOR,2004,Whole Year ,Potato,1892,18727,9.897991543
1323,Andhra Pradesh,CHITTOOR,2004,Whole Year ,Sugarcane,21928,1865393,85.06899854
1332,Andhra Pradesh,CHITTOOR,2005,Kharif     ,Groundnut,177541,130670,0.735999009
1341,Andhra Pradesh,CHITTOOR,2005,Kharif     ,Rice,16240,37173,2.288977833
1347,Andhra Pradesh,CHITTOOR,2005,Rabi       ,Groundnut,17796,44223,2.484996628
1356,Andhra Pradesh,CHITTOOR,2005,Rabi       ,Rice,66351,193612,2.917996714
1359,Andhra Pradesh,CHITTOOR,2005,Whole Year ,Banana,468,25070,53.56837607
1361,Andhra Pradesh,CHITTOOR,2005,Whole Year ,Coconut ,3914,15729168,4018.693919
1364,Andhra Pradesh,CHITTOOR,2005,Whole Year ,Sugarcane,22453,1972429,87.84701376
1373,Andhra Pradesh,CHITTOOR,2006,Kharif     ,Groundnut,87185,46470,0.533004531
1382,Andhra Pradesh,CHITTOOR,2006,Kharif     ,Rice,17049,42520,2.493987917
1389,Andhra Pradesh,CHITTOOR,2006,Rabi       ,Groundnut,18109,52842,2.917996576
1398,Andhra Pradesh,CHITTOOR,2006,Rabi       ,Rice,29164,85101,2.918015361
1402,Andhra Pradesh,CHITTOOR,2006,Whole Year ,Banana,556,27205,48.92985612
1404,Andhra Pradesh,CHITTOOR,2006,Whole Year ,Coconut ,4307,34924554,8108.788948
1407,Andhra Pradesh,CHITTOOR,2006,Whole Year ,Sugarcane,37965,3496956,92.10999605
1415,Andhra Pradesh,CHITTOOR,2007,Kharif     ,Groundnut,146000,246000,1.684931507
1422,Andhra Pradesh,CHITTOOR,2007,Kharif     ,Rice,15000,42000,2.8
1426,Andhra Pradesh,CHITTOOR,2007,Rabi       ,Groundnut,21000,57000,2.714285714
1430,Andhra Pradesh,CHITTOOR,2007,Rabi       ,Rice,37000,116000,3.135135135
1432,Andhra Pradesh,CHITTOOR,2007,Whole Year ,Sugarcane,30000,2819000,93.96666667
1438,Andhra Pradesh,CHITTOOR,2008,Kharif     ,Groundnut,171653,84110,0.490000175
1446,Andhra Pradesh,CHITTOOR,2008,Kharif     ,Rice,17596,46242,2.627983633
1453,Andhra Pradesh,CHITTOOR,2008,Rabi       ,Groundnut,17250,46506,2.696
1459,Andhra Pradesh,CHITTOOR,2008,Rabi       ,Rice,37927,118636,3.12800907
1462,Andhra Pradesh,CHITTOOR,2008,Whole Year ,Banana,708,22390,31.62429379
1464,Andhra Pradesh,CHITTOOR,2008,Whole Year ,Coconut ,3915,35594856,9091.917241
1467,Andhra Pradesh,CHITTOOR,2008,Whole Year ,Sugarcane,26916,2263880,84.1090801
1478,Andhra Pradesh,CHITTOOR,2009,Kharif     ,Groundnut,123097,71889,0.58400286
1486,Andhra Pradesh,CHITTOOR,2009,Kharif     ,Rice,19758,56192,2.844012552
1494,Andhra Pradesh,CHITTOOR,2009,Rabi       ,Groundnut,16334,58966,3.610015918
1500,Andhra Pradesh,CHITTOOR,2009,Rabi       ,Rice,35155,113937,3.240989902
1503,Andhra Pradesh,CHITTOOR,2009,Whole Year ,Banana,769,40826,53.08972692
1505,Andhra Pradesh,CHITTOOR,2009,Whole Year ,Coconut ,3893,22798170,5856.195736
1508,Andhra Pradesh,CHITTOOR,2009,Whole Year ,Sugarcane,27193,2261081,83.14937668
1518,Andhra Pradesh,CHITTOOR,2010,Kharif     ,Groundnut,148596,159741,1.075002019
1527,Andhra Pradesh,CHITTOOR,2010,Kharif     ,Rice,18019,53639,2.976802264
1534,Andhra Pradesh,CHITTOOR,2010,Rabi       ,Groundnut,13361,31332,2.345034054
1542,Andhra Pradesh,CHITTOOR,2010,Rabi       ,Rice,43558,131502,3.019009137
1545,Andhra Pradesh,CHITTOOR,2010,Whole Year ,Banana,923,46782,50.68472373
1549,Andhra Pradesh,CHITTOOR,2010,Whole Year ,Sugarcane,27719,2311342,83.38475414
1560,Andhra Pradesh,CHITTOOR,2011,Kharif     ,Groundnut,132056,82799,0.626999152
1568,Andhra Pradesh,CHITTOOR,2011,Kharif     ,Rice,17342,55719,3.212951217
1577,Andhra Pradesh,CHITTOOR,2011,Rabi       ,Groundnut,14103,45637,3.235978161
1585,Andhra Pradesh,CHITTOOR,2011,Rabi       ,Rice,33764,113211,3.353009122
1588,Andhra Pradesh,CHITTOOR,2011,Whole Year ,Banana,886,55948,63.14672686
1590,Andhra Pradesh,CHITTOOR,2011,Whole Year ,Coconut ,3663,29376960,8019.9181
1593,Andhra Pradesh,CHITTOOR,2011,Whole Year ,Sugarcane,28405,2577106,90.72719592
1601,Andhra Pradesh,CHITTOOR,2012,Kharif     ,Brinjal,875,18642,21.30514286
1608,Andhra Pradesh,CHITTOOR,2012,Kharif     ,Groundnut,135619,86932,0.64100163
1613,Andhra Pradesh,CHITTOOR,2012,Kharif     ,Mango,56760,502212,8.847991543
1617,Andhra Pradesh,CHITTOOR,2012,Kharif     ,Papaya,558,60785,108.9336918
1621,Andhra Pradesh,CHITTOOR,2012,Kharif     ,Rice,12952,45241,3.492974058
1626,Andhra Pradesh,CHITTOOR,2012,Kharif     ,Sugarcane,28106,2491232,88.63701701
1629,Andhra Pradesh,CHITTOOR,2012,Kharif     ,Tomato,8521,143886,16.88604624
1641,Andhra Pradesh,CHITTOOR,2012,Rabi       ,Groundnut,14610,39725,2.719028063
1649,Andhra Pradesh,CHITTOOR,2012,Rabi       ,Rice,34557,126168,3.651011373
1654,Andhra Pradesh,CHITTOOR,2012,Rabi       ,Tomato,4908,106037,21.60493073
1656,Andhra Pradesh,CHITTOOR,2012,Whole Year ,Coconut ,3351,28899000,8623.992838
1659,Andhra Pradesh,CHITTOOR,2013,Kharif     ,Brinjal,919,19001,20.67573449
1667,Andhra Pradesh,CHITTOOR,2013,Kharif     ,Groundnut,143027,142455,0.996000755
1672,Andhra Pradesh,CHITTOOR,2013,Kharif     ,Mango,66615,588344,8.832004804
1680,Andhra Pradesh,CHITTOOR,2013,Kharif     ,Rice,15206,48766,3.207023543
1685,Andhra Pradesh,CHITTOOR,2013,Kharif     ,Sugarcane,28152,2562925,91.03882495
